land,jaar,Invoer als percentage van BBP,Uitvoer als percentage van BBP,BBP
Totaal,1917,,,
Totaal,1918,,,
Totaal,1919,,,
Totaal,1920,,,
Totaal,1921,0.391552511415525,0.23896499238965,2628
Totaal,1922,0.367916999201915,0.222665602553871,2506
Totaal,1923,0.37888198757764,0.246376811594203,2415
Totaal,1924,0.422834645669291,0.301574803149606,2540
Totaal,1925,0.428132205995388,0.315526518063028,2602
Totaal,1926,0.417859834212509,0.299171062547099,2654
Totaal,1927,0.422725611983924,0.314943368651809,2737
Totaal,1928,0.426275331935709,0.315513626834382,2862
Totaal,1929,0.426146010186757,0.308998302207131,2945
Totaal,1930,0.388359788359788,0.276543209876543,2835
Totaal,1931,0.32824427480916,0.227862595419847,2620
Totaal,1932,0.249684210526316,0.162526315789474,2375
Totaal,1933,0.248580166011359,0.149410222804718,2289
Totaal,1934,0.217777777777778,0.148444444444444,2250
Totaal,1935,0.200270635994587,0.145692377086152,2217
Totaal,1936,0.216192170818505,0.1605871886121,2248
Totaal,1937,0.296658516707416,0.222493887530562,2454
Totaal,1938,0.26530612244898,0.196078431372549,2499
Totaal,1939,0.257454545454545,0.166181818181818,2750
Totaal,1940,,,
Totaal,1941,,,
Totaal,1942,,,
Totaal,1943,,,
Totaal,1944,,,
Totaal,1945,,,
Totaal,1946,0.206604747162023,0.0763673890608875,4845
Totaal,1947,0.326003021655196,0.14420010072184,5957
Totaal,1948,0.334769687964339,0.183358098068351,6730
Totaal,1949,0.320699708454811,0.231645905115293,7546
Totaal,1950,0.419855467361687,0.288591399123327,8441
Totaal,1951,0.456639004149378,0.348755186721992,9640
Totaal,1952,0.38141663350577,0.361818543573418,10052
Totaal,1953,0.382839517711936,0.346948312926442,10699
Totaal,1954,0.412246946628744,0.34816797724611,11954
Totaal,1955,0.413638402871243,0.346493195752954,13374
Totaal,1956,0.442912300055157,0.340250965250965,14504
Totaal,1957,0.4489757087588,0.338745481068054,15767
Totaal,1958,0.392785319255907,0.348667672197084,15912
Totaal,1959,0.400212126568853,0.36638972364622,16971
Totaal,1960,0.411513746971453,0.36579584957337,18986
Totaal,1961,0.422249937640309,0.355699675729608,20045
Totaal,1962,0.407062421798971,0.348996709764123,21579
Totaal,1963,0.418692067831361,0.348169663833241,23411
Totaal,1964,0.420829098301147,0.346340932191085,27548
Totaal,1965,0.398381382650242,0.341339747131667,30767
Totaal,1966,0.393140708017432,0.331084711360516,33502
Totaal,1967,0.372629574207591,0.325697184056591,36755
Totaal,1968,0.374539922461599,0.336236933797909,40754
Totaal,1969,0.350086889360881,0.317223402201197,51790
Totaal,1970,0.379780620942607,0.33304633822947,58073
Totaal,1971,0.360063728093468,0.33583187922009,65905
Totaal,1972,0.336449737815536,0.331395742720486,73803
Totaal,1973,0.357778277916632,0.359484014640907,84421
Totaal,1974,0.404229852411625,0.405021047826749,98585
Totaal,1975,0.374756024322498,0.377505442534344,106568
Totaal,1976,0.389909996043782,0.396511934590531,121328
Totaal,1977,0.387777218126593,0.371224262405177,131034
Totaal,1978,0.366147898353393,0.346351925274787,141746
Totaal,1979,0.404013201320132,0.382462046204621,151500
Totaal,1980,0.423695973413616,0.408918947090888,163091
Totaal,1981,0.432289881675022,0.450140282190842,172153
Totaal,1982,0.426910579160998,0.45093266171196,177878
Totaal,1983,0.427803913473343,0.454444215078063,184082
Totaal,1984,0.464808470079085,0.492516551173395,194095
Totaal,1985,0.488081781832124,0.510698262683803,200827
Totaal,1986,0.405939253895128,0.432773698280488,206861
Totaal,1987,0.402013927830259,0.408910743983858,208647
Totaal,1988,0.408330116362433,0.424961855916469,217596
Totaal,1989,0.436309314434355,0.45206859564785,230277
Totaal,1990,0.427806872096268,0.445454993187004,243652
Totaal,1991,0.418063137445362,0.439102476930549,257375
Totaal,1992,0.400161759827655,0.416978818407821,268299
Totaal,1993,0.380826265429527,0.424726371583947,276013
Totaal,1994,0.401199111871139,0.449718667255075,290048
Totaal,1995,0.423870065288393,0.469984701615994,305261
Totaal,1996,0.438723397601289,0.483047958593298,319755
Totaal,1997,0.46002331717494,0.500880968451687,342237
Totaal,1998,0.464722013772402,0.49859848150437,362464
Totaal,1999,0.46277120507104,0.488351679082738,386193
Totaal,2000,0.516932242319839,0.554727725141162,417960
Totaal,2001,0.487636549624663,0.53902678170598,447731
Totaal,2002,0.441893408194938,0.500208506192849,465214
Totaal,2003,0.433733449349506,0.490970656993993,476945
Totaal,2004,0.46468329587283,0.520572738525685,491184
Totaal,2005,0.486648993878151,0.54792201898299,513407
Totaal,2006,0.528257215632266,0.590432345580287,540216
Totaal,2007,0.5374143235165,0.607776162917801,571773
Totaal,2008,0.565076091582406,0.623214198603488,594481
Totaal,2009,0.478032569539543,0.539689656074734,573235
Totaal,2010,0.565644550255714,0.633190124559254,586789
Totaal,2011,0.609170899779149,0.683348718881824,599047
Totaal,2012,0.649798611134285,0.716986074635681,599338
Totaal,2013,0.629888974100612,0.706108874006599,613369.99993
Totaal,2014,0.614200864435482,0.696094634248201,622623.675972
Totaal,2015,0.580704337433356,0.653702131158405,640937.179228
Totaal,2016,0.566681623643353,0.646289592876933,657660.288336
